owner,name,dependencies,description,latestCommit,githubLink,websiteLink,reputation,activity,popularity,languages,commitCount,totalStars,recentContributors
oven-sh,bun,no status,"Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one",3/1/2025,https://github.com/oven-sh/bun,https://bun.sh,10,75%,10,"Zig, JavaScript, TypeScript, CSS, Makefile",352,76508,"jprinaldi, luavixen, robertshuford, bjorntheprogrammer, sirmews, 190n, matubu, msutkowski, shlomocode, gaurishhs, aiellochan, kdrag0n, cdfzo, shrootbuck, josephjclark, jarred-sumner, gbbelloponce, Bellisario, rgarcia, jrmccannon, fase22, ceymard, m1212e, arnaudbarre, dariushalipour, viniciuspjardim, swen128, nacmartin, billywhizz, thatonebro, jonnyburger, ranolp, ananis25, hex2f, ryuujo1573, bakkot, xmarmalade, refi64, mohit-s96, cngjo, otecd, jbergstroem, probably-neb, nshen, abhiprasad, canadahonk, eventualbuddha, ryands17, 17hz, ahaoboy, yooneskh, metonym, fmorency, dannyjjk, davlgd, jdfwarrior, silverwind, advaith1, victor-homyakov, sroussey, exoego, perkrlsn, evanshortiss, henrikstorck, andrewbarba, heimskr, 0livare, anaisbetts, eroblaze, e3dio, erikbrinkman, davidstevens37, rista404, vveisard, okineadev, zenshixd, ghosharnab, surprisedpika, zawodskoj, panva, paperdave, nreilingh, lgarron, alii, brookjeynes, stilt0n, snoglobe, kory-smith, tuttarealstep, deiga, bjon, rcaselles, eval, deckluhm, brainkim, ianzone, arthurvanl, ibanks42, pranav2612000, martinamps, mjomble, liudonghua123, donisaac, zpix1, vadzim, wpaulino, gnuns, vitch, citkane, kilianb, kucukkanat, ridiculousfish, kiwiz0, inad9300, komiya-atsushi, eigilsagafos, dylan-conway, daniellionel01, nmarks413, jakeboone02, yamalight, eckhardt-d, yus-ham, umarfchy, bomberstudios, sourcegr, skywalker13, janos-r, nattui, lirantal, gobd, electroid, fmajestic, rtzll, mangs, gjungb, cyfung1031, erik-dunteman, yhdgms1, speelbarrow, sequencerr, jwigert, tomerh2001, adhamu, windwiny, zieka, pythonmcpi, hibanasama, gvilums, aryzing, sacsbrainz, eduardvercaemer, laesse, camero2734, ludvighz, jdalton, uziniii, oddyamill, imide, humorce, vktrl, igorwessel, nektro, daleseo, imgodmaoyouknow, jlucaso1, riskymh, sitiom, zackradisic, yoavbls, lmmfranco, chawyehsu, marcrock22, sharpobject, ErikOnBike, jmho, devanand-sharma, nellfs, lcrespom, fzn0x, saklani, pikdum, buhrmi, diogomdp, marcosrjjunior, yash-singh1, jakebailey, sculpt0r, lewismiddleton, PondWader, kapsonfire-de, fel1x-developer, pjeweb, carlaiau, trcio, brycefranzen, ippsav, farcaller, inqnuam, anchan828, pfgithub, levabala, thecrypticace, nithinkjoy-tech, lafkpages, tobycm, khajimatov, dsernst, cirospaciari, cainba, huseeiin, oscarfsbs, snoepnfts, kwaitsing, ptitet, sushants-git, 01101sam, dy0gu, boyer-victor, sunsettechuila, creator318, nanome203, mohiwalla, kunokareal, shulaoda, welfuture, argosphil, forcefieldsovereign, marukome0743, versecafe, kjjd84, codershiba, jess-render"
zloirock,core-js,no status,Standard Library,3/1/2025,https://github.com/zloirock/core-js,,12,74%,10,"JavaScript, HTML, TypeScript",359,24860,"slowcheetah, zloirock, szepeviktor, wchenonly, ulop, kush"
paradigmxyz,reth,no status,"Modular, contributor-friendly and blazing-fast implementation of the Ethereum protocol, in Rust",3/1/2025,https://github.com/paradigmxyz/reth,,7,74%,10,"Rust, Dockerfile, Makefile, JavaScript, Handlebars",350,2722,"zakisaad, yaziciahmet, thegaram, abnerzheng, meetmangukiya, chirag-bgh, edisontim, rkdud007, 0xkitsune, pellekrab, lean-apple, tropicaldog17, fgimenez, brechtpd, caglaryucekaya, vcshih, tiesd, gerson2102, moemahhouk, heeckhau, rswanson, garwahl, romanroibu, ckoopmann, tiendn, tomafrench, lightsing, yjhmelody, liamaharon, wakamex, ashutoshvarma, yohkaz, gakonst, c410-f3r, keroro520, loocapro, thedhejavu, eyusufatik, xjonathanlei, mattsse, winksaville, prestwich, junderw, ruteri, mw2000, l1nxy, meyer9, zitup, qedk, martinezjorge, rakita, romanhodulak, clabby, zilayo, lakshya-sky, khayss, futreall, 0xalpharush, syjn99, moliveiraz, onbjerg, 0xkrane, kyrylr, jacobkaufmann, rodrigoherrerai, kdonthi, deniallugo, nils-mathieu, greged93, kamiyaa, ewoolsey, philipglazman, siosw, mininny, nadtech-hub, i-m-aditya, rkrasiuk, ibremseth, evalir, 0xosiris, elijahhampton, kariy, kostekiv, suzp1984, allnil, bocalhky, 9547, ayenesimo1i, nkysg, rhacker, unitezen, moricho, refcell, barnabasbusa, i1i1, rex4539, wlawt, brianbland, voidash, abhijeetbhagat, willco-1, smatthewenglish, supernovahs, estensen, kustrun, skandabhat, lmittmann, emnul, ziminq, ftupas, dapplion, leruaa, frisitano, quentinv72, jsvisa, 0x00101010, kallydev, manav2401, sozinm, vid201, 0xmaze, grooooaaaark, zzpolariszz, no0key, aviggiano, xxalex74xx, wtdcode, jackwener, sangyunock, ralexstokes, citizen-stig, bsh98, kolbyml, temaniarpit27, ozgunozerk, qiweiii, 0xdmtri, nikzak, faheelsattar, bisht13, michaelsproul, artificialpb, iamsahu, vcastellm, davidcardenasus, sergerad, quertc, plaflamme, pythonberg1997, c0np4nn4, grantkee, mouradif, eenagy, royvardhan, youngkashew, abhishekkochar, elvis339, anonymousgiga, wackerow, frankudoags, pana, aroralanuk, blombern, publicqi, kaxxa123, chungquantin, benluelo, zobront, danipopes, shekhirin, 0xjepsen, emhane, peyha, yutianwu, pangan21, kien6034, roynalnaruto, javamonn, guha-rahul, jenpaff, parikalp-bhardwaj, ryanschneider, argakiig, programskillforverification, danielcdz, danyalprout, rjected, debjit-bw, sevazhidkov, georgehao, stfnberat, tcoratger, ret2happy, malik672, ayushdubey86, varun-doshi, tonypony220, colerar, klkvr, 0xnarumi, cypherpepe, donatik27, 0xwitty, jtraglia, dhanraj30, namn-grg, quertyy, d3or, siddharth0a, mdqst, cairoeth, jackg-eth, raster21, codenikel, justcode740, int88, edwardjes, dknopik, ocheretovich, danielemmanuel1, stevencartavia, andrzejsulkowski, bap2pecs, poulavbhowmick03, famouswizard, redidacove, htiennv, dviryo-starkware, rupam-04, soarinskysagar, 0xzerohero, alexgao001, dhruv-2003, joshiedo, harsh-ps-2003, tomasmilukas, alessandromazza98, kamuik16, loopersage, madmaxs2, crstiv, devikingmark, avorylli, polytur, creeptogengar, loopy811, lipsyre, hopium21, nishuyes, marsonkotovi4, bendanzhentan, leopardracer, sky-coderay, kilavvy, vtjl10, guayaba221, 0xriazaka, hunterfarq, angel-ding-cb, veerchaurasia, gancerlory, landlord529, ajstonewee, cakevm, magicjoshh, leniram159, crazykissshout, haxry, sboou, danielguupta, devthejohn, livehardd, abd-aze, huberyjulianay, 0xurb, 18aaddy, hai-rise, wangjingcun, threehrsleep, wheval, hoank101, kienn6034, hishope, tnv1, bilogweb3, fallengirl, comfsrt, eeemmmmmm, ochenane, cody-wang-cb, kien-rise, youyyytrok, rebustron, dsarfed, hexcow, vitaliyr888, dramarereg, halva777, dahka2321, shiowp, fdsuuo, sdfii, daobaniw"
microsoft,playwright,no status,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. ",3/1/2025,https://github.com/microsoft/playwright,https://playwright.dev,10,73%,10,"JavaScript, Shell, TypeScript, HTML, CSS",299,69737,"aslushnikov, romarionijim, matthijskok, przemyslawmalolepszy-tomtom, dev-jonghoonpark, patridge, hansanto, pengoosedev, noahmay, sangcnguyen, evancahill, vitalets, skn0tt, morenyang, agoldis, georg-un, sand4rt, ggorlen, mxschmitt, mtsmfm, alvaromartmart, joonashak, leotm, anthonycr0, karlhorky, bedrich-schindler, okuramasafumi, mrkstwrt, marmphco, juliandescottes, 4ydx, devniel, jfgreffier, brunojbarros, rendermichael, whimboo, debs-obrien, yangsisi0422, ruifigueira, paultriandafilov, mmtv-qa, faulpeltz, matthewpango, pavelfeldman, playwrightmachine, spiderhands, mattkleinsmith, kozynchenkovs, az8th, hargup, segevfiner, atzzcokek, corneliusroemer, beemargarida, guillaume-moreau, imtheish97, muhqu, ledenis, jozefizso, julianalmandos, estruyf, bockstaller, jsoref, atmnk, kblok, daun, keisukeyamashita, vietnd96, tanhauhau, benhovinga, agg23, himanshugarg, szepeviktor, oalders, meir017, yury-s, andarist, dgozman, rmunn, davidizac, remigiuszdudek, mrginglymus, mnigh, tasawar-hussain, parideis, priyanshis, aairiian, kubajanik, joeleinbinder, ernstdejong, jacksonlei123, thatstatsguy, damzaky, joshkel, gauben, blackary, stephenwade, snooz82, marshmn, jkvn, ungb, detachhead, devxan, reazzy, pengx17, justasmonkev, tolluset, ryanrosello-og, honyii, cartr, lutien, daniloakamine, osohyun0224, jcari-dev, flensrocker, dassaswat, asherwoodcnet, kush, jansepke, madacol, anand-m-cherian, k-taro56, joe-hendley, cavivie, jinohkang-theori, shriphad-rao, stanislavgrishaev, generatorx16, lukpsaxo, amankagithub, ctangonan123"
trezor,trezor-firmware,no status,:lock: Trezor Firmware Monorepo,2/28/2025,https://github.com/trezor/trezor-firmware,https://trezor.io,6,73%,10,"Python, C, Makefile, Nix, Dockerfile",293,1437,"gabrielkerekes, mgiannopoulos24, obrusvit, shadouts, winksaville, ibz, rostarmarek, mmilata, r0tc, martykan, hiviah, marekrjpolak, develcuy, overcat, romanz, dlitz, tychovrahe, onvej-sl, tomasklim, fabcien, vdovhanych, tudo1403, bieleluk, naiyoma, davidmisiak, prusnak, komret, andrewkozlik, grdddj, stevenbooke, hannsek, matejcik, karliatto, cepetr, m1nd3r, kimlwh, miroslavprochazka"
python,mypy,no status,Optional static typing for Python,2/28/2025,https://github.com/python/mypy,https://www.mypy-lang.org/,9,73%,10,"Python, Shell, CSS, XSLT, Emacs Lisp",226,18995,"analog-cbarber, superosku, tamird, edgarrmondragon, jhance, soceanainn, geo5, yangdanny97, koogoro, jairov4, ellert, neuroevolutus, picnixz, jukkal, ilevkivskyi, hauntsaninja, hugovk, mr-c, eclips4, mr-sunglasses, benjamb, chelseadz, svalentin, brianschubert, tyralla, andersk, wyattscarpenter, urnest, onlined, michen00, jordandev678, skylion007, roberfi, aliwo, ethanhs, szepeviktor, tadeu, stroxler, jellezijlstra, samoed, invinciblermc, rafalkrupinski, kapji, alexdrydew, felixoid, cdce8p, nautics889, johndoknjas, katconnors, pradyunsg, sloboegen, newbytee, sanxiyn, alexlshon, hnasar, sobolevn, wesleywright, shenyih0ng, advait-dixit, a5rocks, md384, max-muoto, q0w, tusharsadhwani, terencehonles, gareth-cross, ericmarkmartin, tungol, daverball, x612skm, gilesgc, bzoracler, sterliakov, deinalptraum, srittau, gaurovgiri, carltongibson, viicos, alexwaygood, v-spassky, loic-simon, changhoetyng, chadrik, insyncwithfoo, cam-matsui, dexterkennedy, chirizxc, giorgospapoutsakis, hamdanal, mechanicalconstruct, quinn-sasha, jogo-openai, coldwolverine, falsedrow, kcornw, aatle, ag-tafe, jianghuyiyuan"
scipy,scipy,no status,SciPy library main repository,2/28/2025,https://github.com/scipy/scipy,https://scipy.org,9,73%,10,"Python, C, Fortran, Makefile, MATLAB",346,13406,"ptnobel, agriyakhetarpal, tkoyama010, liuzhenqi77, skylake-dev, aadya940, pavyamsiri, tylerjereddy, yoch, andyfaff, zpotthoff, nmayorov, matteobachetti, gautzilla, timbutters, maxaehle, tomita-militaru, luxedo, scottshambaugh, ysard, evbernardes, picocentauri, lorentzenchr, kwinkunks, soutrikbandyopadhyay, jonas-eschle, ollybritton, andfoy, steppi, simonwaldherr, fbourgey, f380cedric, fancidev, roryyorke, dietbru, mikhailryazanov, bencwallace, romain-geissler-1a, ilayn, ambersun1234, anntzer, tpl2go, bharatr21, ankitbarik, valer-ix, mtsokol, a-drenaline, nbelakovski, hoodmane, eendebakpt, matospiso, transurgeon, thibaultdeco, zoutigewolf, oscargus, ivirshup, mattip, perimosocordiae, sengerm, tqa236, smammy, odinzhang, sdrave, henry50, yig, lysnikolaou, akhmerov, iamphytan, marinelay, ev-br, derweh, dwesl, patol75, tupui, larsoner, davidkun, rgommers, nimish, mdunphy, linfye, dschult, psmd-iberutaru, ericonr, adammj, pv, timfelixbeyer, czgdp1807, djip007, sdiebolt, atsushisakai, matthewflamm, melissawm, afleloup, kai-striega, zhaog6, ahmadalkadri, warrenweckesser, afraz98, ragonneau, chrisb83, h-vetinari, carreau, andreablengino, peppedilillo, valentineap, bnavigator, rkern, alexszatmary, yuanx749, lithomas1, izaid, gualor, ninivert, dschmitz89, xuefeng-xu, ivanovmg, ggkogan, lobpcg, jakobjakobson13, haozeke, ritvik1sharma, cbrnr, ilan-gold, jenshnielsen, yagizolmez, futuer-szd, armavica, star1327p, lucascolley, keithbriggs, inkydragon, clemisch, hroskes, grlee77, mdhaber, nickodell, aadityab7, matthew-brett, thalassemia, tuhinsharma121, mosc9575, arashbm, j-bowhay, stassev, mardiehl, jorenham, crusaderky, jnooree, chveen, m-maggi, anushkasuyal, koko1928, elleem, yongcaihuang, bewygs, yahya-darman, quantresearch1, musvaage, redpinecube, qqwqqw689, ciaokitty, kanishk-tiwari-045, sarthakg004, barracuda156, schefflera-arboricola, matryoskas, budjen-jovan, jgyasu, karthik-ganti-2025, redha2404, krishanbhasin-px, hugehope, chitvs, toofooboo, oceanthunder, messagian, searchingdays, paramsingh24, acceptacross, omercohen7530"
bytecodealliance,wasmtime,no status,"A lightweight WebAssembly runtime that is fast, secure, and standards-compliant",3/1/2025,https://github.com/bytecodealliance/wasmtime,https://wasmtime.dev/,8,72%,10,"Shell, WebAssembly, Rust, C, C++",283,15908,"fitzgen, zleyyij, fibonacci1729, rudxain, HerrCai0907, nerdola-de-cartola, milek7, mmcloughlin, xyndra, ospencer, irrio, saulecabrera, lpereira, jeffcharles, rahulchaphalkar, trivikr, refi64, asakuramizu, iwanders, bjorn3, waywardmonkeys, sunshowers, dhil, feilongjiang, lwansbrough, scottmcm, kmeakin, jwcesign, ahaoboy, simonvik, tirthnp, ssnover, liutao-liu, puremourning, dpaoliello, frank-emrich, ajalt, avanhatt, tertsdiepraam, theoparis, pchickey, kauppie, cgamesplay, dicej, thepuzzlemaker, rvolosatovs, atilag, rylev, noelmcloughlin, bacongobbler, molotovcherry, afonso360, thegreatfatzby, lwshang, andoryuuta, rockwotj, jameysharp, arlyon, thaliaarchi, robbepop, lann, caelunshun, jonaskruckenberg, tyoeer, yowl, daichifukui, nilsmartel, adotinthevoid, marinpostma, ulan, jianjunz, erikrose, daniel9z, calebschoepp, nihalpasham, rikhuijzer, wutchzone, benbrandt, cfallin, elliottt, flavio, roboschmied, adambratschikaye, omarjatoi, iawia002, unlimitedhummus, wtachau, badeend, camelid, evacchi, devigned, ifsheldon, danbugs, hungryzzz, jvff, richardpringle, jackdrogon, philipc, high-cloud, dundargoc, blackaslight, jzhn, sunfishcode, minirop, kgrewal1, iii-i, iximeow, lordworms, esarver, uweigand, posborne, remexre, swlynch99, mohrobati, ludfjig, hamirmahal, squiddev, abrown, encounter, jder, wang-zhongqi, marceline-cramer, frankreh, danipopes, calebheydon, wasmtime-publish, juntyr, peterhuene, chobermaier, pkoenig10, xuanwo, eagr, alexcrichton, heap-hop, singleaccretion, takaebato, michael-weigelt, vados-cosmonic, spartan2909, vulc41n, beetrees, jakersnell, ognevny, rajtechguru, romashka-btc, pinkflower32, redismongo, zeevick10, kilavvy, primoly, shenpengfeng, linchizhen, amartosch, maximevtush"
angular,angular-cli,no status,CLI tool for Angular,2/28/2025,https://github.com/angular/angular-cli,https://cli.angular.dev,10,72%,10,"JavaScript, HTML, TypeScript, CSS, Shell",297,26851,"ddereszkiewicz, realtimetodie, mmalerba, skn0tt, aparzi, alan-agius4, theonly1me, clydin, josephperrott, dgp1130, santoshyadavdev, joostk, jeanmeche, alexfriesen, sanjaiyan-dev, angular-robot, davidlj95, ilirbeqirii, japnitsingh, mrjithil, yjaaidi, ms-dosx86, pawelfras, sheikalthaf, jameshenry, tso1158687, celestius0, littledivy, kfrederix, crisbeto, atscott, jsaguet, devversion, platonn, cexbrayat, 9kubczas4, naaajii, guiseek, jkrems, nosaku, aaronshim, hborchardt, niklas-wortmann, sashaphmn, skander23000, sidhanshamil, ihsnow"
numpy,numpy,no status,The fundamental package for scientific computing with Python.,3/1/2025,https://github.com/numpy/numpy,https://numpy.org,8,72%,10,"Python, C, C++, Fortran, Makefile",302,28926,"agriyakhetarpal, hairez, charris, jakevdp, tylerjereddy, andyfaff, dhomeier, karelplanken, roehling, lpsinger, msavinash, neutrinoceros, luxedo, keewis, lorentzenchr, raghuspacerajan, bmwoodruff, adrinjalali, matthiasdiener, john-science, tsvikas, tacaswell, krmpotic, ffy00, seiko2plus, mtsokol, simonaltrogge, eendebakpt, stanfromireland, mattip, ogidig5, arunppsg, maanasarora, mhvk, yakovdan, lysnikolaou, vnherdeiro, ev-br, wjandrea, dwesl, partev, andrej730, rgommers, nullsoup, hawkinsp, czgdp1807, Ishankoradia, ntessore, jakirkham, rostan-t, ngoldbaum, warrenweckesser, dimitripapadopoulos, carreau, r-devulap, stefanv, rkern, yuanx749, laarohi, musharraffaijaz, mousius, datta07, vxst, isaacwarren, bvb93, haozeke, dane-reimers, bashtage, gangula-karthik, juliapoo, numrut, star1327p, msa360, lucascolley, dhavalparmar61, shaurya19, john-venti, earlmilktea, eagunn, seberg, jorenham, amitsubhashchejara, l09rin, f3eqnxn3rrik, linus-md, t-tasin, otieno-juma, devyanic11, guan404ming, abyssalwolf, schefflera-arboricola, vtavana, carlosilva10260, uvi-12, fengluoqiuwu, abhishek-iitmadras, setbit123, nocoding03, engineerericxie"
